"id";"stats";"built";"address";"redfin_estimate";"last_sold_price";"beds";"bath";"sqft";"per_sqft";"hoa_dues";"property_type";"style";"floor_number";"stories";"views";"offer_review_date";"community";"county";"mls";"zipcode";"state";"link";"creation_date";"modification_date";"on_redfin";"listed_at_price";"price";"lot_size"
110;"Active";"2014";"9262 Points Dr NE Yarrow Point";4821280.0;0.0;6;5.5;5774;843.0;0.0;"Residential";"2 Story";0;0;"City, Lake, Mountain(s), Partial, Territorial";"";"Yarrow Point";"King";1300339;"98004";"WA";"https://www.redfin.com/WA/Yarrow-Point/9262-Points-Dr-NE-98004/home/249572";"2018-06-12 17:19:02";"2018-06-12 17:19:02";15;0.0;4868000.0;0.43
111;"Active";"2015";"9150 NE 32nd St Yarrow Point";2684370.0;0.0;5;4.0;5503;506.0;0.0;"Residential";"2 Story, Modern";0;0;"City, Mountain(s), Territorial";"";"Yarrow Point";"King";1262234;"98004";"WA";"https://www.redfin.com/WA/Yarrow-Point/9150-NE-32nd-St-98004/home/252234";"2018-06-12 17:19:08";"2018-06-12 17:19:08";83;0.0;2787000.0;0.4
112;"Pending";"1977";"9075 NE 39th Place Yarrow Point";2599630.0;0.0;4;2.5;2922;888.0;0.0;"Residential";"1 Story, Traditional";0;0;"Territorial";"";"Yarrow Point";"King";1302528;"98004";"WA";"https://www.redfin.com/WA/Yarrow-Point/9075-NE-39th-Pl-98004/home/249658";"2018-06-12 17:19:14";"2018-06-12 17:19:14";8;2595000.0;0.0;0.42
113;"Active";"1938";"4427 91st Ave NE Yarrow Point";6193750.0;0.0;3;1.75;3230;2105.0;0.0;"Residential";"2 Stories with Basement";0;0;"City, Lake, Mountain(s)";"";"Yarrow Point";"King";1282458;"98004";"WA";"https://www.redfin.com/WA/Yarrow-Point/4427-91st-Ave-NE-98004/home/250202";"2018-06-12 17:19:20";"2018-06-12 17:19:20";42;0.0;6800000.0;0.73
114;"Active";"2011";"4233 94th Ave NE Yarrow Point";0.0;0.0;5;8.0;8880;663.0;0.0;"Residential";"2 Stories with Basement, Northwestern Contemporary";0;0;"Lake, Partial";"";"Yarrow Point";"King";1278223;"98004";"WA";"https://www.redfin.com/WA/Yarrow-Point/4233-94th-Ave-NE-98004/home/249820";"2018-06-12 17:19:26";"2018-06-12 17:19:26";46;0.0;5890000.0;0.42
115;"Active";"2012";"3833 94th Ave NE Yarrow Point";0.0;0.0;4;5.25;10190;586.0;0.0;"Residential";"2 Stories with Basement, Modern";0;0;"Bay, City, Lake, Mountain(s)";"";"Yarrow Point";"King";1252170;"98004";"WA";"https://www.redfin.com/WA/Yarrow-Point/3833-94th-Ave-NE-98004/home/250042";"2018-06-12 17:19:32";"2018-06-12 17:19:32";103;0.0;5968000.0;0.32
116;"Active";"2005";"3812 94th Ave NE Yarrow Point";3869910.0;0.0;6;5.0;5126;780.0;0.0;"Residential";"2 Story, Traditional";0;0;"";"";"Yarrow Point";"King";1283050;"98004";"WA";"https://www.redfin.com/WA/Yarrow-Point/3812-94th-Ave-NE-98004/home/250287";"2018-06-12 17:19:37";"2018-06-12 17:19:37";41;0.0;3999000.0;0.37
117;"Pending";"1972";"5921 218th St SE Woodinville";526579.0;0.0;4;2.25;2513;213.0;0.0;"Residential";"Tri-Level, Contemporary";0;0;"Territorial";"";"Maltby";"Snohomish";1298682;"98072";"WA";"https://www.redfin.com/WA/Woodinville/5921-218th-St-SE-98072/home/2756935";"2018-06-12 17:21:45";"2018-06-12 17:21:45";18;535000.0;0.0;1.1
118;"Pending";"1990";"24333 83rd Ave SE Woodinville";913107.0;0.0;4;3.5;2996;294.0;0.0;"Residential";"2 Story, Traditional";0;0;"Territorial";"2018-06-10";"Wellington";"Snohomish";1305324;"98072";"WA";"https://www.redfin.com/WA/Woodinville/24333-83rd-Ave-SE-98072/home/2639595";"2018-06-12 17:21:58";"2018-06-12 17:21:58";7;879900.0;0.0;0.66
119;"Active";"2004";"24202 85th Ave SE Woodinville";666711.0;0.0;2;2.25;1838;367.0;0.0;"Residential";"2 Story, Craftsman";0;0;"Other (See Remarks)";"";"Woodinville";"Snohomish";1293213;"98072";"WA";"https://www.redfin.com/WA/Woodinville/24202-85th-Ave-SE-98072/home/2639594";"2018-06-12 17:22:10";"2018-06-12 17:22:10";29;0.0;675000.0;1.53
120;"Active";"2006";"23107 NE 162nd St Woodinville";0.0;0.0;4;4.5;5226;362.0;0.0;"Residential";"2 Story";0;0;"Territorial";"";"Woodinville";"King";1298380;"98077";"WA";"https://www.redfin.com/WA/Woodinville/23107-NE-162nd-St-98077/home/12299774";"2018-06-12 17:22:33";"2018-06-12 17:22:33";19;0.0;1890000.0;2.38
121;"Active";"2014";"22825 106th Dr SE Woodinville";754800.0;0.0;2;2.75;2697;284.0;0.0;"Residential";"2 Story, Craftsman";0;0;"Territorial";"";"Paradise Lake";"Snohomish";1296858;"98077";"WA";"https://www.redfin.com/WA/Woodinville/22825-106th-Dr-SE-98077/home/2680836";"2018-06-12 17:22:38";"2018-06-12 17:22:38";21;0.0;765000.0;9583.0
122;"Active";"1993";"22303 NE 157th St Woodinville";1249590.0;0.0;4;3.25;3299;379.0;40.0;"Residential";"1 Story";0;0;"Territorial";"";"Saybrook";"King";1300563;"98077";"WA";"https://www.redfin.com/WA/Woodinville/22303-NE-157th-St-98077/home/273582";"2018-06-12 17:22:44";"2018-06-12 17:22:44";15;0.0;1250000.0;0.69
123;"Pending Inspection";"1997";"21720 NE 181st Place Woodinville";0.0;0.0;4;2.5;2960;297.0;0.0;"Residential";"2 Story";0;0;"Territorial";"";"Lake Of The Woods";"King";1289561;"98077";"WA";"https://www.redfin.com/WA/Woodinville/21720-NE-181st-Pl-98077/home/271773";"2018-06-12 17:22:50";"2018-06-12 17:22:50";34;879950.0;0.0;0.7
124;"Active";"2006";"21104 NE 130th Ct Woodinville";0.0;0.0;5;4.0;5680;464.0;105.0;"Residential";"2 Story";0;0;"";"";"Bear Creek";"King";1304757;"98077";"WA";"https://www.redfin.com/WA/Woodinville/21104-NE-130th-Ct-98077/home/2070519";"2018-06-12 17:23:02";"2018-06-12 17:23:02";6;0.0;2638000.0;1.12
125;"Active";"1972";"20324 Little Bear Creek Rd Woodinville";0.0;0.0;3;2.0;1344;171.0;0.0;"Residential";"Manufactured Double-Wide";0;0;"";"";"Maltby";"Snohomish";1298139;"98072";"WA";"https://www.redfin.com/WA/Woodinville/20324-Little-Bear-Creek-Rd-98072/home/2572134";"2018-06-12 17:23:11";"2018-06-12 17:23:11";21;0.0;229900.0;0.71
126;"Active";"1995";"20020 NE 196th St Woodinville";898896.0;0.0;3;2.5;2580;348.0;0.0;"Residential";"1 Story";0;0;"";"";"Reintree";"King";1307175;"98077";"WA";"https://www.redfin.com/WA/Woodinville/20020-NE-196th-St-98077/home/274262";"2018-06-12 17:23:17";"2018-06-12 17:23:17";6;0.0;897950.0;0.76
127;"Active";"1975";"20020 NE 145th St Woodinville";901112.0;0.0;2;2.75;2600;340.0;0.0;"Residential";"1 Story, Cape Cod";0;0;"Other (See Remarks)";"2018-06-12";"Bear Creek";"King";1287687;"98077";"WA";"https://www.redfin.com/WA/Woodinville/20020-NE-145th-St-98077/home/451689";"2018-06-12 17:23:23";"2018-06-12 17:23:23";8;0.0;885000.0;2.65
128;"Active";"1985";"19946 NE 154th St Woodinville";783901.0;0.0;3;2.25;2200;359.0;0.0;"Residential";"2 Story";0;0;"Territorial";"2018-06-04";"Bear Creek";"King";1300574;"98077";"WA";"https://www.redfin.com/WA/Woodinville/19946-NE-154th-St-98077/home/273340";"2018-06-12 17:23:29";"2018-06-12 17:23:29";14;0.0;789000.0;0.96
129;"Active";"1968";"19731 NE 156th Place Woodinville";491264.0;0.0;3;1.0;1180;422.0;0.0;"Residential";"1 Story, Traditional";0;0;"Territorial";"";"Cottage Lake";"King";1300325;"98077";"WA";"https://www.redfin.com/WA/Woodinville/19731-NE-156th-Pl-98077/home/270486";"2018-06-12 17:23:35";"2018-06-12 17:23:35";6;0.0;498000.0;8680.0
130;"Pending";"1988";"19525 NE 143rd St Woodinville";1323710.0;0.0;4;3.0;3730;349.0;17.0;"Residential";"2 Story, Traditional";0;0;"Territorial";"2018-06-11";"Woodinville";"King";1289214;"98077";"WA";"https://www.redfin.com/WA/Woodinville/19525-NE-143rd-St-98077/home/451452";"2018-06-12 17:23:41";"2018-06-12 17:23:41";8;1300000.0;0.0;0.81
131;"Active";"1976";"19425 NE 181st St Woodinville";709418.0;0.0;5;2.25;2700;259.0;0.0;"Residential";"Split-Entry, Other (See Remarks)";0;0;"Territorial";"";"Cottage Lake";"King";1306162;"98077";"WA";"https://www.redfin.com/WA/Woodinville/19425-NE-181st-St-98077/home/273919";"2018-06-12 17:23:47";"2018-06-12 17:23:47";6;0.0;699000.0;0.8
132;"Active";"1977";"19209 NE 165th St Woodinville";612037.0;0.0;3;1.75;1410;443.0;0.0;"Residential";"1 Story";0;0;"Territorial";"";"Cottage Lake";"King";1302482;"98077";"WA";"https://www.redfin.com/WA/Woodinville/19209-NE-165th-St-98077/home/270284";"2018-06-12 17:23:58";"2018-06-12 17:23:58";13;0.0;624000.0;0.7
133;"Active";"1984";"19011 NE 226th Ave Woodinville";0.0;0.0;3;1.5;2040;1324.0;0.0;"Residential";"2 Story";0;0;"Lake, River, Other (See Remarks), Territorial";"";"Woodinville";"King";1181223;"98077";"WA";"https://www.redfin.com/WA/Woodinville/19011-226th-Ave-NE-98077/home/273370";"2018-06-12 17:24:04";"2018-06-12 17:24:04";293;0.0;2700000.0;18.26
134;"Active";"1968";"18625 NE 161st Place Woodinville";708067.0;0.0;3;2.25;2060;340.0;0.0;"Residential";"Split-Entry";0;0;"";"";"Cottage Lake";"King";1306310;"98072";"WA";"https://www.redfin.com/WA/Woodinville/18625-NE-161st-Pl-98072/home/270178";"2018-06-12 17:24:22";"2018-06-12 17:24:22";5;0.0;699999.0;0.34
135;"Contingent";"1969";"18320 204th Ave NE Woodinville";836019.0;0.0;4;3.25;4110;207.0;0.0;"Residential";"2 Stories with Basement, Traditional";0;0;"Other (See Remarks), Territorial";"";"Paradise Lake";"King";1280664;"98077";"WA";"https://www.redfin.com/WA/Woodinville/18320-204th-Ave-NE-98077/home/273260";"2018-06-12 17:24:27";"2018-06-12 17:24:27";48;849000.0;0.0;6.0
136;"Active";"1976";"18145 NE 185th St Woodinville";797266.0;0.0;4;2.25;2570;305.0;0.0;"Residential";"2 Story";0;0;"";"2018-06-13";"Cottage Lake";"King";1304518;"98077";"WA";"https://www.redfin.com/WA/Woodinville/18145-NE-185th-Pl-98077/home/273964";"2018-06-12 17:24:33";"2018-06-12 17:24:33";6;0.0;785000.0;0.8
137;"Pending";"1985";"17313 220th Place NE Woodinville";711513.0;0.0;3;2.5;2110;343.0;0.0;"Residential";"1 1/2 Story, Other (See Remarks)";0;0;"";"";"Ring Hill";"King";1268881;"98077";"WA";"https://www.redfin.com/WA/Woodinville/17313-220th-Pl-NE-98077/home/273114";"2018-06-12 17:24:56";"2018-06-12 17:24:56";70;724000.0;0.0;1.95
138;"Active";"1977";"17216 195th Place NE Woodinville";711953.0;0.0;4;2.5;2460;295.0;0.0;"Residential";"Tri-Level";0;0;"Territorial";"";"Cottage Lake";"King";1283246;"98077";"WA";"https://www.redfin.com/WA/Woodinville/17216-195th-Pl-NE-98077/home/273092";"2018-06-12 17:25:08";"2018-06-12 17:25:08";43;0.0;725000.0;2.09
139;"Active";"1997";"17201 127th Place NE #102 Woodinville";0.0;0.0;2;2.25;1199;342.0;288.0;"Condominium";"Condominium (Single Level)";1;2;"Territorial";"";"Woodinville";"King";1295209;"98072";"WA";"https://www.redfin.com/WA/Woodinville/17201-127th-Pl-NE-98072/unit-102/home/50417";"2018-06-12 17:25:15";"2018-06-12 17:25:15";7;0.0;410000.0;6510.0
140;"Active";"1995";"17142 217th Place NE Woodinville";0.0;0.0;4;3.5;3290;322.0;0.0;"Residential";"2 Story, Traditional";0;0;"Territorial";"";"Woodinville";"King";1298166;"98077";"WA";"https://www.redfin.com/WA/Woodinville/17142-217th-Pl-NE-98077/home/272214";"2018-06-12 17:25:21";"2018-06-12 17:25:21";14;0.0;1059950.0;0.84
141;"Active";"1967";"17002 NE 172nd Place Woodinville";0.0;0.0;5;2.25;3410;1320.0;0.0;"Residential";"1 1/2 Story with Basement";0;0;"Mountain(s), Territorial";"";"Woodinville";"King";1146756;"98072";"WA";"https://www.redfin.com/WA/Woodinville/17002-NE-172nd-Pl-98072/home/449228";"2018-06-12 17:25:33";"2018-06-12 17:25:33";342;0.0;4500000.0;14.74
142;"Active";"1991";"16804 198th Ave NE Woodinville";1067430.0;0.0;3;2.5;3362;321.0;0.0;"Residential";"2 Story, Northwestern Contemporary";0;0;"Territorial";"";"Woodinville";"King";1300297;"98077";"WA";"https://www.redfin.com/WA/Woodinville/16804-198th-Ave-NE-98077/home/272369";"2018-06-12 17:25:39";"2018-06-12 17:25:39";12;0.0;1080000.0;0.82
143;"Active";"1971";"16511 NE 172nd Place Woodinville";0.0;0.0;3;1.0;1360;559.0;0.0;"Residential";"1 Story";0;0;"Territorial";"";"Woodinville";"King";1303727;"98072";"WA";"https://www.redfin.com/WA/Woodinville/16511-NE-172nd-Pl-98072/home/448304";"2018-06-12 17:25:51";"2018-06-12 17:25:51";7;0.0;760000.0;1.69
144;"Active";"1978";"16221 198th Ave NE Woodinville";692734.0;0.0;3;3.0;2380;294.0;0.0;"Residential";"1 Story with Basement, Northwestern Contemporary";0;0;"Territorial";"";"Cottage Lake";"King";1302544;"98077";"WA";"https://www.redfin.com/WA/Woodinville/16221-198th-Ave-NE-98077/home/270391";"2018-06-12 17:25:57";"2018-06-12 17:25:57";13;0.0;699900.0;9600.0
145;"Active";"1958";"16205 Avondale Rd NE Woodinville";803691.0;0.0;3;3.0;2230;359.0;0.0;"Residential";"1 Story";0;0;"";"";"Avondale";"King";1279850;"98072";"WA";"https://www.redfin.com/WA/Woodinville/16205-Avondale-Rd-NE-98072/home/269999";"2018-06-12 17:26:03";"2018-06-12 17:26:03";6;0.0;800000.0;1.25
146;"Active";"2005";"15825 NE 164th St Woodinville";2088230.0;0.0;4;3.5;4890;440.0;125.0;"Residential";"2 Story";0;0;"";"";"Hollywood Hill";"King";1278915;"98072";"WA";"https://www.redfin.com/WA/Woodinville/15825-NE-164th-St-98072/home/2075609";"2018-06-12 17:26:09";"2018-06-12 17:26:09";40;0.0;2150000.0;0.8
147;"Active";"1900";"15720 232nd Ave NE Woodinville";1025480.0;0.0;4;2.5;2840;349.0;0.0;"Residential";"1 Story with Basement, Craftsman";0;0;"Territorial";"";"East Woodinville";"King";1293564;"98077";"WA";"https://www.redfin.com/WA/Woodinville/15720-232nd-Ave-NE-98077/home/273617";"2018-06-12 17:26:14";"2018-06-12 17:26:14";28;0.0;990000.0;2.02
148;"Active";"1998";"15520 129th Ave NE Woodinville";1261490.0;0.0;4;2.75;2970;438.0;21.0;"Residential";"1 Story with Basement";0;0;"Mountain(s), Other (See Remarks)";"";"Woodinville";"King";1292700;"98072";"WA";"https://www.redfin.com/WA/Woodinville/15520-129th-Ave-NE-98072/home/454631";"2018-06-12 17:26:26";"2018-06-12 17:26:26";27;0.0;1300000.0;0.37
149;"Pending";"1977";"15519 184th Place NE Woodinville";461706.0;0.0;3;1.75;1440;312.0;0.0;"Residential";"1 Story";0;0;"";"2018-06-18";"Cottage Lake";"King";1306084;"98072";"WA";"https://www.redfin.com/WA/Woodinville/15519-184th-Pl-NE-98072/home/270039";"2018-06-12 17:26:32";"2018-06-12 17:26:32";7;449995.0;0.0;0.31
150;"Active";"2003";"15503 186th Ave NE Woodinville";726927.0;0.0;3;2.5;2650;272.0;0.0;"Residential";"2 Stories with Basement";0;0;"Territorial";"2018-06-15";"Cottage Lake";"King";1300516;"98072";"WA";"https://www.redfin.com/WA/Woodinville/15503-186th-Ave-NE-98072/home/269845";"2018-06-12 17:26:38";"2018-06-12 17:26:38";14;0.0;720000.0;0.39
151;"Active";"1998";"15425 135th Place NE Woodinville";606954.0;0.0;3;2.25;1607;373.0;488.0;"Condominium";"Townhouse, Townhouse";0;0;"Mountain(s), Territorial";"2018-06-12";"Woodinville";"King";1306216;"98072";"WA";"https://www.redfin.com/WA/Woodinville/15425-135th-Pl-NE-98072/unit-33E/home/10598";"2018-06-12 17:26:44";"2018-06-12 17:26:44";6;0.0;599888.0;0.0
152;"Active";"1985";"15403 NE 144th Place Woodinville";0.0;0.0;4;2.5;4080;404.0;69.0;"Residential";"1 Story, Traditional";0;0;"Territorial";"";"Hollywood Hill";"King";1304448;"98072";"WA";"https://www.redfin.com/WA/Woodinville/15403-NE-144th-Pl-98072/home/448654";"2018-06-12 17:26:56";"2018-06-12 17:26:56";5;0.0;1650000.0;0.84
153;"Active";"2018";"15374 NE 127th Place NE #52 Woodinville";1189380.0;0.0;5;3.5;3376;352.0;95.0;"Residential";"2 Story, Contemporary";0;0;"";"";"Kingsgate";"King";1289330;"98072";"WA";"https://www.redfin.com/WA/Woodinville/15374-127th-Pl-NE-98072/unit-52/home/145593378";"2018-06-12 17:27:01";"2018-06-12 17:27:01";35;0.0;1190000.0;5564.0
154;"Active";"2018";"15315 127th Place NE #54 Woodinville";1339780.0;0.0;5;3.25;4071;330.0;95.0;"Residential";"2 Stories with Basement, Contemporary";0;0;"Territorial";"";"Kingsgate";"King";1302425;"98072";"WA";"https://www.redfin.com/WA/Woodinville/15315-127th-Pl-NE-98072/unit-54/home/145900391";"2018-06-12 17:27:07";"2018-06-12 17:27:07";13;0.0;1345000.0;6288.0
155;"Active";"2018";"15156 127th Place NE #43 Woodinville";1200830.0;0.0;5;3.25;3883;309.0;95.0;"Residential";"Multi-Level, Contemporary";0;0;"Territorial";"";"Kingsgate";"King";1249073;"98072";"WA";"https://www.redfin.com/WA/Woodinville/15156-127th-Pl-NE-98072/unit-43/home/144912256";"2018-06-12 17:27:13";"2018-06-12 17:27:13";111;0.0;1200000.0;5003.0
156;"Active";"2018";"15151 127th Place NE #62 Woodinville";1199800.0;0.0;5;3.25;3677;326.0;90.0;"Residential";"2 Stories with Basement, Contemporary";0;0;"Territorial";"";"Kingsgate";"King";1258692;"98072";"WA";"https://www.redfin.com/WA/Woodinville/15151-127th-Pl-NE-98072/unit-62/home/145129701";"2018-06-12 17:27:19";"2018-06-12 17:27:19";90;0.0;1200000.0;5058.0
157;"Active";"2018";"15135 127th Ave NE #84 Woodinville";1083120.0;0.0;4;2.75;3221;335.0;95.0;"Residential";"2 Story, Craftsman";0;0;"";"";"Kingsgate";"King";1304426;"98072";"WA";"https://www.redfin.com/WA/Woodinville/15135-127th-Ave-NE-98072/unit-84/home/145962902";"2018-06-12 17:27:36";"2018-06-12 17:27:36";10;0.0;1080000.0;5005.0
158;"Active";"2018";"15132 126th Ave NE #93 Woodinville";1098840.0;0.0;5;3.25;3375;323.0;95.0;"Residential";"2 Story, Craftsman";0;0;"";"";"Kingsgate";"King";1287456;"98072";"WA";"https://www.redfin.com/WA/Woodinville/15132-126th-Ave-NE-98072/unit-93/home/145580003";"2018-06-12 17:27:42";"2018-06-12 17:27:42";37;0.0;1090000.0;5005.0
159;"Active";"2018";"15131 127th Ave NE #86 Woodinville";1182510.0;0.0;4;2.75;3601;328.0;95.0;"Residential";"2 Story, Craftsman";0;0;"";"";"Kingsgate";"King";1263750;"98072";"WA";"https://www.redfin.com/WA/Woodinville/15131-127th-Ave-NE-98072/unit-86/home/145233068";"2018-06-12 17:27:48";"2018-06-12 17:27:48";79;0.0;1180000.0;5005.0
160;"Active";"2018";"15119 126th Ave NE #99 Woodinville";975075.0;0.0;4;2.5;2776;349.0;95.0;"Residential";"2 Story, Craftsman";0;0;"";"";"Kingsgate";"King";1300335;"98072";"WA";"https://www.redfin.com/WA/Woodinville/15119-126th-Ave-NE-98072/unit-99/home/145866563";"2018-06-12 17:28:06";"2018-06-12 17:28:06";16;0.0;969995.0;5005.0
161;"Active";"1998";"15072 225th Ave NE Woodinville";1098410.0;0.0;4;2.5;3439;318.0;0.0;"Residential";"2 Story, Traditional";0;0;"Territorial";"2018-06-14";"Woodinville";"King";1307341;"98077";"WA";"https://www.redfin.com/WA/Woodinville/15072-225th-Ave-NE-98077/home/272509";"2018-06-12 17:28:18";"2018-06-12 17:28:18";6;0.0;1095000.0;0.63
162;"Active";"2018";"15050 127th Pl NE Woodinville";1199860.0;0.0;5;3.5;3619;332.0;0.0;"";"";0;0;"";"";"Vinterra Highlands";"King";0;"98072";"WA";"https://www.redfin.com/WA/Woodinville/15050-127th-Pl-NE-98072/home/143458227";"2018-06-12 17:28:23";"2018-06-12 17:28:23";120;0.0;1200000.0;0.0
163;"Active";"2018";"15026 126th Ave NE #90 Woodinville";1076690.0;0.0;4;2.75;3008;357.0;95.0;"Residential";"2 Story, Craftsman";0;0;"";"";"Kingsgate";"King";1300296;"98072";"WA";"https://www.redfin.com/WA/Woodinville/15026-126th-Ave-NE-98072/unit-90/home/145866098";"2018-06-12 17:28:29";"2018-06-12 17:28:29";16;0.0;1075000.0;5005.0
164;"Active";"2018";"15003 124th Place NE #6 Woodinville";1020160.0;0.0;4;2.75;2661;383.0;95.0;"Residential";"2 Story";0;0;"";"";"Kingsgate";"King";1276371;"98072";"WA";"https://www.redfin.com/WA/Woodinville/15003-124th-Pl-NE-98072/unit-6/home/145350441";"2018-06-12 17:28:47";"2018-06-12 17:28:47";56;0.0;1020000.0;5668.0
165;"Active";"1998";"14725 232 Ave NE Woodinville";0.0;0.0;8;7.5;8787;784.0;0.0;"Residential";"2 Story, Traditional";0;0;"";"";"Woodinville";"King";1292921;"98077";"WA";"https://www.redfin.com/WA/Woodinville/14725-232nd-Ave-NE-98077/home/272132";"2018-06-12 17:28:53";"2018-06-12 17:28:53";28;0.0;6888000.0;7.28
